a,k,x,PDF,CDF,Hazard Rate
0.2,2.0,0.0,0.0,0.0,0.0
0.2,2.0,0.005005005005005005,0.002002002001951751,2.507515025021677e-08,0.002002012032062102
0.2,2.0,0.01001001001001001,0.00400400400239598,2.0060120197620796e-07,0.004004084244484795
0.2,2.0,0.015015015015015015,0.006006005993795072,6.770290563014801e-07,0.006006276817628526
0.2,2.0,0.02002002002002002,0.00800800795655124,1.6048096125867825e-06,0.008008649931853042
0.2,2.0,0.025025025025025023,0.010010009852976412,3.134393764907168e-06,0.010011263767515972
0.2,2.0,0.03003003003003003,0.012012011621262173,5.416232395350912e-06,0.012014178504970151
0.2,2.0,0.035035035035035036,0.014014013169449665,8.600776363102145e-06,0.014017454324559257
0.2,2.0,0.04004004004004004,0.016016014369399496,1.2838476488214993e-05,0.0160211514066113
0.2,2.0,0.04504504504504504,0.018018015050761702,1.827978352906841e-05,0.018025329931429645
0.2,2.0,0.050050050050050046,0.020020014994945684,2.507514815239927e-05,0.020030050079280978
0.2,2.0,0.055055055055055056,0.022022013929090187,3.33750208948892e-05,0.02203537203037998
0.2,2.0,0.06006006006006006,0.024024011520033303,4.3329852115224835e-05,0.024041355964870115
0.2,2.0,0.06506506506506507,0.02602600736828258,5.509009193559665e-05,0.02604806206280027
0.2,2.0,0.07007007007007007,0.028028001001985093,6.880619017154665e-05,0.02805555050409665
0.2,2.0,0.07507507507507508,0.030029991870897745,8.46285962491616e-05,0.0300638814685297
0.2,2.0,0.08008008008008008,0.03203197934035754,0.00010270775910848377,0.03207311513567543
0.2,2.0,0.08508508508508508,0.03403396268525213,0.00012319412709213236,0.03408331168487089
0.2,2.0,0.09009009009009009,0.03603594108399034,0.00014623814781808373,0.03609453129516327
0.2,2.0,0.09509509509509509,0.038037913612473204,0.00017199026803549884,0.03810683414525224
0.2,2.0,0.10010010010010009,0.04003987923806496,0.00020060093346261135,0.04012028041342509
0.2,2.0,0.10510510510510511,0.04204183681356444,0.00023222058860556245,0.042134930277484266
0.2,2.0,0.11011011011011011,0.04404378507117695,0.00026699967655713906,0.04415084391466691
0.2,2.0,0.11511511511511512,0.04604572261648628,0.00030508863877440134,0.04616808150155581
0.2,2.0,0.12012012012012012,0.04804764792242752,0.0003466379148340748,0.04818670321398168
0.2,2.0,0.12512512512512514,0.05004955932326012,0.00039179794216471006,0.05020676922691594
0.2,2.0,0.13013013013013014,0.05205145500854167,0.0004407191557544918,0.05222833971435385
0.2,2.0,0.13513513513513514,0.05405333301710256,0.000493551987833719,0.05425147484918755
0.2,2.0,0.14014014014014015,0.056055191231021144,0.0005504468675308058,0.056276234803068384
0.2,2.0,0.14514514514514515,0.0580570273696,0.0006115542205008794,0.05830267974625841
0.2,2.0,0.15015015015015015,0.06005883898334313,0.0006770244685257459,0.06033086984747037
0.2,2.0,0.15515515515515516,0.06206062344793427,0.0007470080290843109,0.06236086527369578
0.2,2.0,0.16016016016016016,0.06406237795821647,0.0008216553148923796,0.06439272619002101
0.2,2.0,0.16516516516516516,0.06606409952217307,0.0009011167334106689,0.06642651275943033
0.2,2.0,0.17017017017017017,0.06806578495491003,0.0009855426863201288,0.06846228514259613
0.2,2.0,0.17517517517517517,0.07006743087264018,0.0010750835689634496,0.07050010349765545
0.2,2.0,0.18018018018018017,0.0720690336866692,0.0011698897697516699,0.07254002797997275
0.2,2.0,0.18518518518518517,0.07407058959738341,0.0012701116695348652,0.07458211874188803
0.2,2.0,0.19019019019019018,0.07607209458824007,0.0013758996409359231,0.07662643593245046
0.2,2.0,0.19519519519519518,0.0780735444197598,0.001487404047646206,0.07867303969713656
0.2,2.0,0.20020020020020018,0.08007493462352178,0.0016047752436822227,0.08072199017755297
0.2,2.0,0.20520520520520522,0.08207626049616144,0.0017281635726021196,0.08277334751112293
0.2,2.0,0.21021021021021022,0.08407751709337154,0.0018577193666810133,0.0848271718307565
0.2,2.0,0.21521521521521522,0.08607869922390621,0.001993592946044162,0.08688352326450374
0.2,2.0,0.22022022022022023,0.08807980144358876,0.0021359346177566934,0.08894246193519079
0.2,2.0,0.22522522522522523,0.09008081804932284,0.0022848946748692633,0.0910040479600378
0.2,2.0,0.23023023023023023,0.09208174307310828,0.0024406233954180913,0.09306834145025934
0.2,2.0,0.23523523523523523,0.09408257027606044,0.002603271041378797,0.09513540251064562
0.2,2.0,0.24024024024024024,0.09608329314243513,0.0027729878575726966,0.09720529123912518
0.2,2.0,0.24524524524524524,0.09808390487365756,0.0029499240705245173,0.09927806772630791
0.2,2.0,0.2502502502502503,0.10008439838235728,0.0031342298872708008,0.10135379205500844
0.2,2.0,0.2552552552552553,0.10208476628640831,0.003326055494117481,0.10343252429974911
0.2,2.0,0.2602602602602603,0.10408500090297548,0.0035255510553460143,0.10551432452624251
0.2,2.0,0.2652652652652653,0.10608509424256699,0.0037328667118668086,0.10759925279085283
0.2,2.0,0.2702702702702703,0.10808503800309369,0.003948152579818963,0.1096873691400357
0.2,2.0,0.2752752752752753,0.1100848235639357,0.004171558749115297,0.11177873360975625
0.2,2.0,0.2802802802802803,0.11208444198001628,0.004403235281931605,0.11387340622488477
0.2,2.0,0.2852852852852853,0.11408388397588398,0.004643332211139229,0.11597144699856982
0.2,2.0,0.2902902902902903,0.11608313993980307,0.004891999538679667,0.11807291593158799
0.2,2.0,0.2952952952952953,0.11808219991785295,0.005149387233880514,0.12017787301167032
0.2,2.0,0.3003003003003003,0.12008105360803684,0.00541564523171148,0.12228637821280473
0.2,2.0,0.3053053053053053,0.12207969035440046,0.005690923430979526,0.12439849149451394
0.2,2.0,0.3103103103103103,0.12407809914116129,0.005975371692462109,0.12651427280110897
0.2,2.0,0.3153153153153153,0.1260762685868483,0.006269139836977643,0.1286337820609172
0.2,2.0,0.3203203203203203,0.1280741869384538,0.006572377643391887,0.13075707918548488
0.2,2.0,0.3253253253253253,0.13007184206559674,0.006885234846559516,0.13288422406875394
0.2,2.0,0.3303303303303303,0.13206922145469915,0.007207861135199779,0.13501527658621204
0.2,2.0,0.3353353353353353,0.1340663122031758,0.007540406149705149,0.1371502965940162
0.2,2.0,0.34034034034034033,0.13606310101363722,0.007883019479882184,0.13928934392808903
0.2,2.0,0.34534534534534533,0.1380595741881081,0.008235850662623369,0.14143247840318748
0.2,2.0,0.35035035035035034,0.14005571762226032,0.008599049179509075,0.14357975981194376
0.2,2.0,0.35535535535535534,0.14205151679966205,0.008972764454338747,0.14573124792387762
0.2,2.0,0.36036036036036034,0.14404695678604332,0.009357145850590052,0.14788700248438016
0.2,2.0,0.36536536536536535,0.1460420222235793,0.009752342668805258,0.15004708321366825
0.2,2.0,0.37037037037037035,0.1480366973251911,0.010158504143903931,0.15221154980570972
0.2,2.0,0.37537537537537535,0.150030965868866,0.010575779442420592,0.15438046192711838
0.2,2.0,0.38038038038038036,0.15202481119199668,0.011004317659666897,0.1565538792160189
0.2,2.0,0.38538538538538536,0.1540182161857415,0.011444267816816919,0.1587318612808809
0.2,2.0,0.39039039039039036,0.15601116328940565,0.011895778857914924,0.16091446769932213
0.2,2.0,0.39539539539539537,0.1580036344848443,0.012358999646804484,0.16310175801687996
0.2,2.0,0.40040040040040037,0.15999561129088935,0.012834078963978101,0.1652937917457514
0.2,2.0,0.40540540540540543,0.16198707475779953,0.013321165503346345,0.1674906283635007
0.2,2.0,0.41041041041041043,0.16397800546173513,0.013820407868925544,0.16969232731173442
0.2,2.0,0.41541541541541543,0.16596838349925913,0.014331954571443381,0.17189894799474356
0.2,2.0,0.42042042042042044,0.16795818848186453,0.014855954024861034,0.17411054977811258
0.2,2.0,0.42542542542542544,0.16994739953052967,0.015392554542811363,0.17632719198729474
0.2,2.0,0.43043043043043044,0.17193599527030154,0.015941904334951962,0.17854893390615295
0.2,2.0,0.43543543543543545,0.17392395382491002,0.016504151503232423,0.18077583477546716
0.2,2.0,0.44044044044044045,0.1759112528114116,0.01707944403807469,0.18300795379140608
0.2,2.0,0.44544544544544545,0.17789786933486584,0.017667929814465962,0.18524535010396456
